"sceneID","sensor","acquisitionDate","upperLeftCornerLatitude","upperLeftCornerLongitude","upperRightCornerLatitude","upperRightCornerLongitude","lowerLeftCornerLatitude","lowerLeftCornerLongitude","lowerRightCornerLatitude","lowerRightCornerLongitude","sceneCenterLatitude","sceneCenterLongitude","satelliteNumber","DATUM","ELEVATION_SOURCE","ELLIPSOID","EPHEMERIS_TYPE","FALSE_EASTING","FALSE_NORTHING","GRID_CELL_SIZE_REFLECTIVE","MAP_PROJECTION_L1","MAP_PROJECTION_L0RA","ORIENTATION"
"LT50400372004022PAC02","LANDSAT_TM",2004,34.1155,-117.948,33.8286,-115.977,32.5322,-118.367,32.2503,-116.429,33.1857,"-117.18","LANDSAT_5","WGS84","GLS2000","WGS84","DEFINITIVE","","","30","UTM",NA,"NORTH_UP"
"LT50900892004020ASA01","LANDSAT_TM",2004,-40.8125,146.803,-41.127,148.961,-42.3816,146.258,-42.7038,148.467,-41.7617,"147.622","LANDSAT_5","WGS84","GLS2000","WGS84","DEFINITIVE","","","30","UTM",NA,"NORTH_UP"
"LT50900882004020ASA01","LANDSAT_TM",2004,-39.3796,147.282,-39.6876,149.397,-40.9506,146.756,-41.2657,148.919,-40.3261,"148.088","LANDSAT_5","WGS84","GLS2000","WGS84","DEFINITIVE","","","30","UTM",NA,"NORTH_UP"
"LT50410372004013PAC02","LANDSAT_TM",2004,34.12,-119.496,33.833,-117.523,32.5366,-119.914,32.2547,-117.976,33.19,"-118.727","LANDSAT_5","WGS84","GLS2000","WGS84","DEFINITIVE","","","30","UTM",NA,"NORTH_UP"
"LT50410362004013PAC02","LANDSAT_TM",2004,35.5524,-119.108,35.2606,-117.102,33.97,-119.536,33.6835,-117.567,34.6208,"-118.328","LANDSAT_5","WGS84","GLS2000","WGS84","DEFINITIVE","","","30","UTM",NA,"NORTH_UP"
"LT50400372004006PAC02","LANDSAT_TM",2004,34.1138,-117.962,33.8269,-115.99,32.5305,-118.381,32.2486,-116.443,33.184,"-117.194","LANDSAT_5","WGS84","GLS2000","WGS84","DEFINITIVE","","","30","UTM",NA,"NORTH_UP"
"LT50900882004004ASA01","LANDSAT_TM",2004,-39.3704,147.266,-39.6784,149.38,-40.9414,146.74,-41.2565,148.902,-40.3168,"148.072","LANDSAT_5","WGS84","GLS2000","WGS84","DEFINITIVE","","","30","UTM",NA,"NORTH_UP"
"LT50900892004004ASA01","LANDSAT_TM",2004,-40.804,146.786,-41.1185,148.944,-42.3731,146.241,-42.6953,148.451,-41.7531,"147.605","LANDSAT_5","WGS84","GLS2000","WGS84","DEFINITIVE","","","30","UTM",NA,"NORTH_UP"
"LT50410372003362PAC02","LANDSAT_TM",2003,34.123,-119.515,33.8361,-117.543,32.5397,-119.934,32.2577,-117.995,33.1931,"-118.747","LANDSAT_5","WGS84","GLS2000","WGS84","DEFINITIVE","","","30","UTM",NA,"NORTH_UP"
"LT50410362003362PAC02","LANDSAT_TM",2003,35.5554,-119.127,35.2636,-117.122,33.973,-119.555,33.6865,-117.587,34.6238,"-118.348","LANDSAT_5","WGS84","GLS2000","WGS84","DEFINITIVE","","","30","UTM",NA,"NORTH_UP"
"LT50400372003355PAC02","LANDSAT_TM",2003,34.1135,-117.969,33.8266,-115.997,32.5302,-118.388,32.2482,-116.45,33.1836,"-117.201","LANDSAT_5","WGS84","GLS2000","WGS84","DEFINITIVE","","","30","UTM",NA,"NORTH_UP"
"LT50900882003353ASA01","LANDSAT_TM",2003,-39.3715,147.259,-39.6795,149.374,-40.9425,146.734,-41.2576,148.896,-40.3179,"148.066","LANDSAT_5","WGS84","","WGS84","DEFINITIVE","","","30","UTM",NA,"NORTH_UP"
"LT50900892003353ASA01","LANDSAT_TM",2003,-40.8055,146.78,-41.12,148.938,-42.3747,146.235,-42.6968,148.444,-41.7547,"147.599","LANDSAT_5","WGS84","GLS2000","WGS84","DEFINITIVE","","","30","UTM",NA,"NORTH_UP"
